Country,diesel,diesel-electric,e85,electric,hydrogen,lpg,ng,petrol,petrol-electric
Austria,97529.0,439.0,,15711.0,14.0,,404.0,124899.0,7237.0
Belgium,149506.0,3772.0,,15433.0,19.0,1851.0,3421.0,251158.0,28947.0
Croatia,12877.0,11.0,,519.0,,712.0,1.0,20941.0,209.0
Cyprus,2988.0,,,18.0,,,,6770.0,62.0
Czechia,60891.0,122.0,,2800.0,1.0,1279.0,1317.0,128852.0,2091.0
Denmark,43412.0,451.0,,14031.0,45.0,,,120441.0,17088.0
Estonia,4716.0,,,265.0,,94.0,660.0,12592.0,126.0
Finland,11360.0,435.0,,4247.0,,,1840.0,62320.0,13385.0
France,588842.0,2395.0,2.0,114555.0,211.0,16450.0,416.0,962694.0,75839.0
Germany,844999.0,22418.0,1.0,194144.0,309.0,6453.0,7159.0,1577673.0,179743.0
Greece,22076.0,38.0,,671.0,,444.0,1354.0,53793.0,1407.0
Hungary,30698.0,327.0,,3186.0,,322.0,1.0,91387.0,2968.0
Iceland,1829.0,62.0,,2356.0,1.0,,35.0,3129.0,1850.0
Ireland,39279.0,6.0,,4013.0,,,,43496.0,2501.0
Italy,481288.0,1403.0,,32481.0,2.0,80102.0,31609.0,725545.0,28388.0
Latvia,3984.0,,,304.0,,95.0,34.0,7872.0,66.0
Lithuania,7100.0,3.0,,453.0,,81.0,,32141.0,230.0
Luxembourg,17106.0,308.0,,2458.0,,9.0,3.0,21493.0,2358.0
Malta,985.0,11.0,,154.0,,,,3054.0,198.0
Netherlands,10836.0,115.0,,72173.0,145.0,2037.0,56.0,246362.0,20014.0
Norway,11935.0,1411.0,,76599.0,15.0,,3.0,23252.0,27673.0
Poland,81577.0,178.0,,3154.0,,7311.0,22.0,292010.0,4175.0
Portugal,49448.0,1907.0,,7850.0,,1814.0,30.0,73587.0,10167.0
Romania,34568.0,56.0,,2825.0,,9276.0,,77990.0,1027.0
Slovakia,19817.0,65.0,,919.0,,561.0,407.0,53014.0,899.0
Slovenia,18111.0,11.0,,1748.0,,145.0,50.0,34265.0,245.0
Spain,323205.0,1265.0,,18292.0,7.0,10056.0,3573.0,538363.0,24555.0
Sweden,60107.0,2961.0,13.0,27788.0,4.0,,3477.0,127630.0,64817.0
United Kingdom,319562.0,2869.0,,107496.0,57.0,783.0,,1115007.0,74728.0
EU Total,3350631.0,43039.0,16.0,726643.0,830.0,139875.0,55872.0,6831730.0,592993.0
