Country,diesel,diesel-electric,e85,electric,hydrogen,lpg,ng,petrol,petrol-electric
Austria,15070.0,20.0,,260.0,,,120.0,11053.0,209.0
Belgium,265365.0,753.0,,2806.0,4.0,547.0,2622.0,290818.0,11303.0
Croatia,26393.0,8.0,,11.0,,252.0,,20951.0,18.0
Cyprus,5187.0,,,,,,,7531.0,24.0
Czechia,88160.0,4.0,15.0,203.0,,814.0,2772.0,128721.0,174.0
Denmark,76032.0,1.0,,654.0,8.0,,47.0,142238.0,562.0
Estonia,6520.0,1.0,,24.0,,,10.0,19128.0,25.0
Finland,4371.0,12.0,1.0,118.0,,,92.0,5376.0,227.0
France,1100403.0,290.0,761.0,26135.0,57.0,790.0,237.0,1115252.0,11735.0
Germany,32943.0,84.0,9.0,484.0,1.0,244.0,447.0,32112.0,584.0
Greece,38919.0,12.0,,37.0,,24.0,333.0,48379.0,155.0
Hungary,4980.0,5.0,,54.0,,,,4611.0,108.0
Iceland,,,,,,,,,
Ireland,3098.0,2.0,,50.0,,,,1745.0,41.0
Italy,14758.0,54.0,,191.0,,386.0,262.0,7384.0,190.0
Latvia,6205.0,,2.0,37.0,,29.0,11.0,9115.0,13.0
Lithuania,2152.0,,,35.0,,9.0,,2330.0,18.0
Luxembourg,7213.0,9.0,,130.0,,,8.0,5743.0,183.0
Malta,2595.0,3.0,,22.0,,,,5116.0,11.0
Netherlands,69545.0,117.0,,8589.0,,1191.0,1219.0,330540.0,973.0
Norway,,,,,,,,,
Poland,144659.0,9.0,2.0,367.0,,14303.0,9.0,270206.0,660.0
Portugal,138144.0,445.0,,1872.0,,1749.0,8.0,79834.0,2417.0
Romania,53890.0,17.0,,199.0,,824.0,11.0,51630.0,159.0
Slovakia,8693.0,5.0,,90.0,,177.0,47.0,8582.0,125.0
Slovenia,26336.0,1.0,,223.0,,245.0,45.0,32496.0,188.0
Spain,8709.0,2.0,,95.0,,314.0,27.0,6418.0,147.0
Sweden,6486.0,14.0,30.0,221.0,3.0,1.0,189.0,6299.0,249.0
United Kingdom,26252.0,128.0,,541.0,5.0,,,21040.0,538.0
EU Total,2183078.0,1996.0,820.0,43448.0,78.0,21899.0,8516.0,2664648.0,31036.0
