Country,diesel,diesel-electric,e85,electric,hydrogen,lpg,ng,petrol,petrol-electric
Austria,39974.0,4.0,,326.0,2.0,,299.0,16645.0,236.0
Belgium,19154.0,8.0,1.0,177.0,2.0,74.0,200.0,12902.0,130.0
Croatia,3319.0,,,8.0,,53.0,,1529.0,12.0
Cyprus,672.0,,,,,,,785.0,
Czechia,7512.0,2.0,2.0,23.0,,81.0,159.0,6082.0,20.0
Denmark,4548.0,211.0,,70.0,,,2.0,4301.0,154.0
Estonia,1437.0,,,13.0,,,8.0,1998.0,12.0
Finland,4567.0,4.0,28.0,110.0,,,65.0,4788.0,68.0
France,16938.0,7.0,15.0,149.0,1.0,75.0,19.0,10700.0,147.0
Germany,30667.0,19.0,35.0,201.0,,298.0,349.0,28428.0,291.0
Greece,4808.0,12.0,,10.0,,17.0,68.0,3783.0,16.0
Hungary,4887.0,,,24.0,,18.0,,3874.0,23.0
Iceland,,,,,,,,,
Ireland,3713.0,1.0,,28.0,,,1.0,1495.0,10.0
Italy,15562.0,39.0,,117.0,,516.0,282.0,7094.0,83.0
Latvia,1637.0,,2.0,13.0,,18.0,4.0,1390.0,5.0
Lithuania,2037.0,,,12.0,,10.0,,1501.0,7.0
Luxembourg,6950.0,,2.0,38.0,,,7.0,3941.0,12.0
Malta,2700.0,,,3.0,,,,4322.0,
Netherlands,5289.0,80.0,1.0,122.0,,53.0,69.0,8016.0,172.0
Norway,,,,,,,,,
Poland,9152.0,2.0,7.0,22.0,,315.0,5.0,10614.0,57.0
Portugal,5800.0,4.0,,56.0,,74.0,4.0,1979.0,59.0
Romania,4033.0,,,12.0,,21.0,,2543.0,15.0
Slovakia,8374.0,1.0,3.0,25.0,,282.0,51.0,5948.0,12.0
Slovenia,3707.0,1.0,,19.0,,66.0,13.0,2452.0,15.0
Spain,14439.0,5.0,,63.0,,120.0,23.0,8845.0,62.0
Sweden,6179.0,10.0,51.0,98.0,1.0,,171.0,5179.0,92.0
United Kingdom,24442.0,17.0,,289.0,1.0,2.0,,18329.0,187.0
EU Total,252497.0,427.0,147.0,2028.0,7.0,2093.0,1799.0,179463.0,1897.0
