Country,diesel,diesel-electric,e85,electric,hydrogen,lpg,ng,petrol,petrol-electric
Austria,140660.0,40.0,,6756.0,7.0,1.0,641.0,190246.0,2176.0
Belgium,204954.0,593.0,,3807.0,,395.0,4174.0,353247.0,9171.0
Croatia,26549.0,8.0,,103.0,,440.0,,33057.0,30.0
Cyprus,4983.0,,,5.0,,,,7737.0,41.0
Czechia,73312.0,1.0,,551.0,,524.0,1881.0,161345.0,217.0
Denmark,69930.0,1.0,,1484.0,5.0,,7.0,140044.0,2746.0
Estonia,6609.0,,,84.0,,17.0,102.0,19498.0,51.0
Finland,25858.0,130.0,,774.0,,,1151.0,83397.0,4653.0
France,941477.0,247.0,766.0,32762.0,36.0,2027.0,257.0,1329144.0,14199.0
Germany,1077912.0,584.0,3.0,36153.0,52.0,4455.0,10793.0,2224316.0,30495.0
Greece,36730.0,1.0,,77.0,,2.0,1042.0,65313.0,194.0
Hungary,29966.0,5.0,,1286.0,,29.0,14.0,97135.0,660.0
Iceland,6633.0,95.0,,687.0,16.0,,142.0,8349.0,1859.0
Ireland,68625.0,10.0,,1235.0,,,,55365.0,708.0
Italy,974852.0,49.0,,4984.0,1.0,187503.0,39605.0,741451.0,4611.0
Latvia,5499.0,,3.0,72.0,,38.0,3.0,9805.0,15.0
Lithuania,7378.0,,,141.0,,13.0,,24144.0,45.0
Luxembourg,24763.0,8.0,,418.0,,2.0,7.0,26417.0,672.0
Malta,2373.0,,,266.0,,,,5380.0,86.0
Netherlands,47817.0,14.0,,24227.0,,884.0,690.0,333963.0,3584.0
Norway,,,,,,,,,
Poland,132666.0,,,593.0,,2537.0,8.0,373798.0,616.0
Portugal,122935.0,99.0,,4418.0,,1805.0,23.0,95311.0,3775.0
Romania,50921.0,7.0,,545.0,,874.0,,73972.0,330.0
Slovakia,29313.0,2.0,,290.0,,650.0,181.0,67547.0,194.0
Slovenia,19650.0,,,449.0,,122.0,9.0,43329.0,170.0
Spain,525004.0,5.0,,5897.0,1.0,15085.0,4048.0,824440.0,5201.0
Sweden,125960.0,1254.0,944.0,7054.0,5.0,,3260.0,186063.0,20266.0
United Kingdom,745925.0,215.0,,15416.0,36.0,2.0,,1550935.0,43405.0
EU Total,5529254.0,3368.0,1716.0,150534.0,159.0,217405.0,68038.0,9124748.0,150170.0
