Country,diesel,diesel-electric,e85,electric,hydrogen,lpg,ng,petrol,petrol-electric
Austria,47458.0,73.0,,414.0,2.0,2.0,215.0,19087.0,237.0
Belgium,18359.0,19.0,,200.0,2.0,79.0,342.0,14113.0,231.0
Croatia,27042.0,1.0,,55.0,,554.0,10.0,17569.0,26.0
Cyprus,936.0,,,,,,,955.0,16.0
Czechia,6034.0,1.0,,9.0,,13.0,93.0,4341.0,24.0
Denmark,4862.0,2.0,,112.0,5.0,,7.0,4681.0,57.0
Estonia,1500.0,1.0,,14.0,,,3.0,2440.0,13.0
Finland,4849.0,9.0,9.0,74.0,,,60.0,4932.0,132.0
France,17902.0,16.0,46.0,200.0,3.0,59.0,25.0,11933.0,220.0
Germany,31388.0,32.0,22.0,310.0,1.0,254.0,302.0,29680.0,459.0
Greece,2924.0,1.0,,6.0,,13.0,32.0,2554.0,37.0
Hungary,5406.0,2.0,,30.0,,3.0,1.0,4720.0,68.0
Iceland,,,,,,,,,
Ireland,3586.0,3.0,,34.0,,,,1717.0,37.0
Italy,14999.0,6.0,,111.0,,458.0,242.0,7429.0,93.0
Latvia,1575.0,,,12.0,,9.0,1.0,1547.0,11.0
Lithuania,2012.0,,,19.0,,9.0,,1902.0,18.0
Luxembourg,7821.0,4.0,1.0,67.0,,,11.0,4882.0,85.0
Malta,2574.0,,,21.0,,,,4654.0,1.0
Netherlands,5439.0,20.0,,195.0,1.0,57.0,75.0,8202.0,163.0
Norway,,,,,,,,,
Poland,5795.0,1.0,,47.0,,1893.0,26.0,6836.0,32.0
Portugal,7229.0,3.0,,64.0,,47.0,6.0,2189.0,105.0
Romania,4624.0,,,21.0,,14.0,,3028.0,53.0
Slovakia,8537.0,4.0,,39.0,,135.0,44.0,6541.0,33.0
Slovenia,4201.0,,,21.0,,40.0,9.0,2674.0,35.0
Spain,9673.0,2.0,,67.0,,180.0,,6495.0,100.0
Sweden,6693.0,6.0,27.0,138.0,2.0,,156.0,5630.0,147.0
United Kingdom,27080.0,7.0,,319.0,1.0,1.0,,21217.0,291.0
EU Total,280498.0,213.0,105.0,2599.0,17.0,3820.0,1660.0,201948.0,2724.0
